name,year_month,sentiment_emb,year,month
Bhilai - Manufacturer,2017-1,100.0,2017,1
G.N.,2017-1,100.0,2017,1
Manufacturer,2017-1,100.0,2017,1
CLP International,2017-6,100.0,2017,6
Importers,2017-6,100.0,2017,6
Quape,2017-6,100.0,2017,6
Unilite Chemicals Pte Ltd,2017-6,100.0,2017,6
Aik Moh Paints & Chemicals Pte Ltd,2017-12,100.0,2017,12
