name,year_month,sentiment_emb,year,month
Jasmine Goh,2017-10,100.0,2017,10
Jenny Huang,2017-10,100.0,2017,10
Neo Jie Shi,2017-10,100.0,2017,10
Rachel See,2017-10,100.0,2017,10
Albirex Niigata,2017-11,100.0,2017,11
Anil Wadhwani,2017-11,100.0,2017,11
Bank of Singapore National Australia Bank,2017-11,100.0,2017,11
Blacklight Runners,2017-11,100.0,2017,11
GEWR,2017-11,100.0,2017,11
Global,2017-11,100.0,2017,11
Global Cebu,2017-11,100.0,2017,11
Great Eastern,2017-11,100.0,2017,11
Hyundai,2017-11,100.0,2017,11
Jin Mingming,2017-11,100.0,2017,11
Khoo Kah Siang,2017-11,100.0,2017,11
MEPS,2017-11,100.0,2017,11
Manulife,2017-11,100.0,2017,11
Manulife Singapore,2017-11,100.0,2017,11
Naveed Irshad,2017-11,100.0,2017,11
S.League,2017-11,100.0,2017,11
Wing Hang Bank,2017-11,100.0,2017,11
Chng Kunda,2017-12,-100.0,2017,12
Great Eastern,2017-12,0.0,2017,12
OCBC,2017-12,0.0,2017,12
UE,2017-12,100.0,2017,12
WBL,2017-12,100.0,2017,12
YPI,2017-12,100.0,2017,12
Yanlord Land,2017-12,100.0,2017,12
DBS,2018-1,100.0,2018,1
GEH,2018-1,100.0,2018,1
Prudential,2018-1,100.0,2018,1
Tokio Marine Insurance,2018-1,100.0,2018,1
MPs,2018-2,-100.0,2018,2
PUB,2018-2,-100.0,2018,2
Parliament,2018-2,-100.0,2018,2
Bank of Singapore,2018-3,100.0,2018,3
GEH,2018-3,100.0,2018,3
GELM,2018-3,100.0,2018,3
Great Eastern,2018-3,100.0,2018,3
Lion Global Investors,2018-3,100.0,2018,3
OCBC,2018-3,100.0,2018,3
UOB,2018-3,100.0,2018,3
